issue_key,issue_title,week,labels,milestone,linear_team,linear_project,linear_status,linear_priority,linear_issue_id
W1-01,Requirements lock and success criteria,1,"week-1,product",Week 1,,,,,
W1-02,UX research and insights summary,1,"week-1,product,design",Week 1,,,,,
W1-03,User journeys and wireflows,1,"week-1,product,design",Week 1,,,,,
W1-04,Wireframes for core screens,1,"week-1,design",Week 1,,,,,
W1-05,Design system foundations,1,"week-1,design",Week 1,,,,,
W2-01,Database schema review and constraints,2,"week-2,backend,infra",Week 2,,,,,
W2-02,RLS policies and access rules,2,"week-2,backend,security",Week 2,,,,,
W2-03,OpenAPI v1 schema completion,2,"week-2,backend,docs",Week 2,,,,,
W2-04,Auth middleware and role guards,2,"week-2,backend,security",Week 2,,,,,
W2-05,CI/CD and monitoring baseline,2,"week-2,infra,qa",Week 2,,,,,
W3-01,Document upload + IDN assignment,3,"week-3,backend",Week 3,,,,,
W3-02,Member signature capture,3,"week-3,backend",Week 3,,,,,
W3-03,Notarization submission + code issuance,3,"week-3,backend",Week 3,,,,,
W3-04,Member dashboard endpoints,3,"week-3,backend",Week 3,,,,,
W3-05,Member audit events,3,"week-3,backend,qa",Week 3,,,,,
W4-01,Code resolve and request access,4,"week-4,backend",Week 4,,,,,
W4-02,Acknowledgment generation,4,"week-4,backend,docs",Week 4,,,,,
W4-03,Watermarking pipeline,4,"week-4,backend",Week 4,,,,,
W4-04,Notary signature and seal,4,"week-4,backend",Week 4,,,,,
W4-05,Notary audit and compliance logs,4,"week-4,backend,security",Week 4,,,,,
W5-01,Member UI core screens,5,"week-5,frontend",Week 5,,,,,
W5-02,Notary UI core screens,5,"week-5,frontend",Week 5,,,,,
W5-03,Admin dashboard baseline,5,"week-5,frontend",Week 5,,,,,
W5-04,Public verification UI,5,"week-5,frontend",Week 5,,,,,
W5-05,Frontend UI states and error handling,5,"week-5,frontend,qa",Week 5,,,,,
W5-06,Mobile app shell,5,"week-5,mobile",Week 5,,,,,
W6-01,Hashing and ledger anchoring,6,"week-6,backend,infra",Week 6,,,,,
W6-02,Verification endpoint + proof payload,6,"week-6,backend,frontend",Week 6,,,,,
W6-03,QA test plan and execution,6,"week-6,qa",Week 6,,,,,
W6-04,Security review and fixes,6,"week-6,security",Week 6,,,,,
W6-05,Docs and launch readiness,6,"week-6,docs",Week 6,,,,,
